path,filename,canvas_w,canvas_h,canvas_area,canvas_tiles_w,canvas_tiles_h,canvas_multiple_of_tile,visible_left,visible_top,visible_right_exclusive,visible_bottom_exclusive,visible_w,visible_h,visible_bbox_area,visible_tiles_w_ceil,visible_tiles_h_ceil,transparent_pixel_count,transparent_pixel_pct,bbox_empty_pct,margin_left,margin_top,margin_right,margin_bottom,max_margin_px,max_margin_tiles,parsed_dim_hint,parsed_frame_hint,suggested_trim_canvas_w,suggested_trim_canvas_h,suggested_trim_tiles_w,suggested_trim_tiles_h,issues,suspicious
sprites/enemies/enemy_grunt/runtime/fx/enemy_grunt__fx__melee__fast_01__e__10f__96.png,enemy_grunt__fx__melee__fast_01__e__10f__96.png,960,96,92160,30.0,3.0,True,152,23,739,90,587,67,39329,19,3,91737,0.9954,0.5733,152,23,221,6,221,6.906,,10f__96,608,96,19,3,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/overlay/unarmed/operator__fx__unarmed__fast_01__n__6f__96.png,operator__fx__unarmed__fast_01__n__6f__96.png,576,96,55296,18.0,3.0,True,158,12,546,74,388,62,24056,13,2,53715,0.9714,0.565,158,12,30,22,158,4.938,,6f__96,416,64,13,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/body/unarmed/operator__body__unarmed__fast_recovery_01__e__2f__96.png,operator__body__unarmed__fast_recovery_01__e__2f__96.png,192,96,18432,6.0,3.0,True,23,26,168,84,145,58,8410,5,2,15117,0.8201,0.5437,23,26,24,12,26,0.812,,2f__96,160,64,5,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/operator/runtime/animation_base/body/core_locomotion/death_disintigrate_base.png,death_disintigrate_base.png,1152,128,147456,36.0,4.0,True,46,55,1098,119,1052,64,67328,33,2,143724,0.9747,0.5434,46,55,54,9,55,1.719,,,1056,64,33,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
runtime/sundered_keep/props/prop_observatory/prop_telescope_broken_01.png,prop_telescope_broken_01.png,96,64,6144,3.0,2.0,True,24,2,71,62,47,60,2820,2,2,4538,0.7386,0.541,24,2,25,2,25,0.781,,,64,64,2,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/operator/runtime/body/melee_fast/operator_body_melee_fast_baked6.png,operator_body_melee_fast_baked6.png,96,96,9216,3.0,3.0,True,16,12,70,91,54,79,4266,2,3,7671,0.8324,0.5371,16,12,26,5,26,0.812,,,64,96,2,3,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/operator/runtime/live_review/body/operator_body_ranged_2h_fire_loop-sheet.png,operator_body_ranged_2h_fire_loop-sheet.png,192,96,18432,6.0,3.0,True,28,19,163,83,135,64,8640,5,2,15814,0.858,0.5312,28,19,29,13,29,0.906,,,160,64,5,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__101.png,operator__body__melee__light_01__s__6f__101.png,96,96,9216,3.0,3.0,True,7,21,65,96,58,75,4350,2,3,7659,0.8311,0.528,7,21,31,0,31,0.969,,6f__101,64,96,2,3,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/operator/runtime/body/melee/operator__body__melee__light_01__s__6f__100.png,operator__body__melee__light_01__s__6f__100.png,96,96,9216,3.0,3.0,True,25,22,91,88,66,66,4356,3,3,7571,0.8215,0.5273,25,22,5,8,25,0.781,,6f__100,96,96,3,3,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/operator/runtime/body/ranged_2h/operator_body_ranged_2h_stance.png,operator_body_ranged_2h_stance.png,288,96,27648,9.0,3.0,True,33,25,255,84,222,59,13098,7,2,23925,0.8653,0.5263,33,25,33,12,33,1.031,,,224,64,7,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
