direction,frames,unique_frames,duplicate_frames,median_width,median_height,width_range,height_range,median_vertical_utilization,median_horizontal_utilization,center_range,baseline_range,clipped_frames,fragmented_frames,median_head_to_shoulder,median_torso_to_shoulder,median_hip_to_shoulder,median_stance_to_shoulder,median_value_range,median_dark_ratio,median_light_ratio,median_edge_contrast
s,123,115,8,43.00,64.00,76.00,79.00,0.6667,0.4479,23.64,40.00,5,17,0.7353,0.9565,1.0000,1.0000,0.3605,0.7805,0.0125,0.0933
se,53,53,0,43.00,72.00,37.00,22.00,0.7500,0.4479,12.00,10.00,0,5,0.6923,0.8837,1.0000,0.9730,0.3641,0.7226,0.0110,0.0860
e,193,168,25,52.00,69.00,64.00,71.00,0.7188,0.5417,31.76,28.00,10,4,0.7179,0.8837,1.0000,1.0769,0.3644,0.7515,0.0189,0.0873
ne,24,24,0,48.00,69.50,31.00,16.00,0.7240,0.5000,9.86,9.00,0,0,0.6776,0.9410,1.1523,1.1847,0.2971,0.6823,0.0055,0.0839
n,88,87,1,48.00,70.50,35.00,39.00,0.7344,0.5000,12.65,13.00,1,0,0.6180,0.9158,1.0000,0.9494,0.2832,0.8390,0.0056,0.0863
nw,24,24,0,46.50,69.00,31.00,16.00,0.7188,0.4844,9.85,4.00,0,0,0.6929,0.9444,1.1523,1.2007,0.2992,0.6823,0.0061,0.0825
w,165,139,26,50.00,68.00,57.00,56.00,0.7083,0.5208,25.36,23.00,4,1,0.7234,0.8837,1.0000,1.0769,0.3603,0.7527,0.0161,0.0846
sw,53,53,0,43.00,72.00,37.00,22.00,0.7500,0.4479,12.00,10.00,0,6,0.6829,0.8837,1.0000,0.9512,0.3694,0.7226,0.0109,0.0860
