/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/ranged_2h/fire_01/operator__modular_upper_body__ranged_2h__fire_01__se__5f__96.png | semantic=ranged_2h__fire_01 | direction=se | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/ranged_2h/fire_01/operator__modular_lower_body__ranged_2h__fire_01__se__5f__96.png | semantic=ranged_2h__fire_01 | direction=se | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/ranged_2h/fire_01/operator__modular_upper_body__ranged_2h__fire_01__sw__5f__96.png | semantic=ranged_2h__fire_01 | direction=sw | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/ranged_2h/fire_01/operator__modular_lower_body__ranged_2h__fire_01__sw__5f__96.png | semantic=ranged_2h__fire_01 | direction=sw | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/ranged_2h/fire_01/operator__modular_upper_body__ranged_2h__fire_01__w__6f__96.png | semantic=ranged_2h__fire_01 | direction=w | layer=upper | declared=96x96 | actual_frame=96x96 | frames=6
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/ranged_2h/fire_01/operator__modular_lower_body__ranged_2h__fire_01__w__6f__96.png | semantic=ranged_2h__fire_01 | direction=w | layer=lower | declared=96x96 | actual_frame=96x96 | frames=6
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/ranged_2h/relaxed_01/operator__modular_upper_body__ranged_2h__relaxed_01__e__5f__96.png | semantic=ranged_2h__relaxed_01 | direction=e | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/ranged_2h/relaxed_01/operator__modular_lower_body__ranged_2h__relaxed_01__e__5f__96.png | semantic=ranged_2h__relaxed_01 | direction=e | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/ranged_2h/relaxed_01/operator__modular_upper_body__ranged_2h__relaxed_01__w__5f__96.png | semantic=ranged_2h__relaxed_01 | direction=w | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/ranged_2h/relaxed_01/operator__modular_lower_body__ranged_2h__relaxed_01__w__5f__96.png | semantic=ranged_2h__relaxed_01 | direction=w | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/ranged_2h/operator__body__ranged_2h__run_01__e__5f__96.png | semantic=ranged_2h__run_01 | direction=e | layer=full | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/ranged_2h/operator__body__ranged_2h__run_01__w__5f__96.png | semantic=ranged_2h__run_01 | direction=w | layer=full | declared=96x96 | actual_frame=96x96 | frames=5
