alsa-oss 1.1.8-6
termshark 2.4.0-2
texlive-basic 2026.0-3
texlive-fontsrecommended 2026.0-3
texlive-latexextra 2026.0-3
thefuck 3.32-12
thunar 4.20.7-1
ticker 5.2.0-1
tig 2.6.0-1
tigervnc 1.16.0-3
tmux 3.6_a-1
traefik 3.6.10-1
trash-cli 0.24.5.26-3
ttf-anonymous-pro 1.003-9
ttf-cormorant 3.609-2
ttf-hack 3.003-7
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-maple-beta 7.0-1
ttf-maple-beta-nf 7.0-1
ttf-maple-beta-nf-cn 7.0-1
ttf-space-mono-nerd 3.4.0-2
tuyapi-cli 1.18.3-2
typst 1:0.14.2-2
unp 1:2.0-1
unrar 1:7.2.4-1
unzip 6.0-23
usbip 6.19.6-1
usbutils 019-1
uv 0.10.9-1
virt-manager 5.1.0-3
vit 2.3.3-2
vncdotool 1.2.0-5
vnstat 2.13-2
vulkan-validation-layers 1.4.341.0-2
waybar 0.15.0-2
waydroid 1.6.2-1
waynergy 0.0.17-1
wayvnc 0.9.1-1
wf-recorder 0.6.0-1
wget 1.25.0-3
wireguard-tools 1.0.20260223-1
wireshark-cli 4.6.4-1
wl-clipboard 1:2.2.1-3
wlroots0.18 0.18.3-1
wmctrl 1.07-6
woff2-font-awesome 7.2.0-1
wofi 1.5.3-1
wtype 0.4-2
xdg-desktop-portal 1.20.3-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.11-3
xf86-input-wacom 1.2.4-1
xfsprogs 6.18.0-1
xorg-xinput 1.6.4-2
xorg-xwayland 24.1.9-1
xournalpp 1.3.2-1
xrdp 0.10.5-1
yad 14.2-1
yay 12.5.7-1
yay-debug 12.5.7-1
ydotool 1.0.4-2
yt-dlp 2026.03.03-1
zenity 4.2.1-1
zoxide 0.9.9-2
